"class","cap.diameter","does.bruise.or.bleed","stem.height"
0,6.87,0,6.88
0,8.59,0,9.15
0,5.95,0,7.54
0,6.51,0,6.8
0,7.66,0,8.55
0,6.4,0,7.68
0,7.06,0,7.26
0,6.32,0,7.66
0,8.8,0,8.44
0,7.5,0,6.37
0,6.44,0,7.61
0,6.64,0,7.14
0,6.93,0,7.99
0,8.23,0,8.2
0,7.37,0,7.8
0,8.49,0,8.35
0,7.05,0,8.63
0,5.92,0,7.47
0,8.91,0,9.11
0,8.71,0,8.8
0,8.79,0,8.71
0,7.09,0,7.97
0,8.08,0,8.22
0,7.63,0,7.97
0,6.39,0,8.03
0,6.86,0,8.04
0,8.85,0,8.58
0,7.73,0,9.09
0,5.84,0,8.14
0,6.5,0,8.46
0,6.58,0,7.82
0,7.2,0,7.69
0,5.55,0,7.19
0,6.63,0,7.95
0,6.83,0,7.8
0,6.3,0,7.86
0,8.82,0,7.84
0,7.33,0,8.29
0,8.5,0,6.69
0,8.07,0,7.98
0,6.85,0,7.83
0,7.44,0,8.58
0,7.19,0,7.24
0,7.07,0,8.82
0,7.81,0,8.12
0,6.08,0,7.71
0,8.01,0,8.81
0,7.5,0,8.88
0,8.47,0,9.3
0,6.36,0,6.01
0,7.53,0,8.3
0,7.62,0,8.19
0,6.18,0,7.98
0,6.67,0,9.1
0,5.61,0,7.23
0,8.08,0,7.87
0,6.37,0,8.65
0,6.25,0,6.99
0,6.8,0,7.24
0,6.71,0,7.09
0,8.38,0,8.16
0,6.52,0,7.29
0,5.73,0,6.83
0,8.03,0,7.82
0,8.25,0,7.05
0,9,0,8.79
0,7.97,0,8
0,7.45,0,8.56
0,6.27,0,8.18
0,7.38,0,8.33
0,7.02,0,7.75
0,6.9,0,7.46
0,7.22,0,8.01
0,7.67,0,7.85
0,7.83,0,7.92
0,6.11,0,7.53
0,7.81,0,7.8
0,6.59,0,8.28
0,6.59,0,8.58
0,8.66,0,8.87
0,7.9,0,8.57
0,6.69,0,7.4
0,7.58,0,8.89
0,7.22,0,8.41
0,7.37,0,7.22
0,7.76,0,7.37
0,6.84,0,7.71
0,7.7,0,9.6
0,9.14,0,9.13
0,7.94,0,9.24
0,6.37,0,7.38
0,7.25,0,8.54
0,8.28,0,8.03
0,7.18,0,7.54
0,5.5,0,6.28
0,7,0,7.22
0,6.4,0,7.27
0,8.54,0,7.34
